lat,lon,primary,name
48.37235,16.42319,false,"Laimgstettenkeller, Enzersfeld im Weinviertel, Enzersfeld im Weinviertel"
48.37004,16.42324,false,"Neustiftkeller, Enzersfeld im Weinviertel, Enzersfeld im Weinviertel"
48.36958,16.43193,false,"Schüller/Wald/Fürstenberg/Satzkeller, Enzersfeld im Weinviertel, Enzersfeld im Weinviertel"
48.34794,16.4128,false,"""Hagenbrunnerstraße"", Königsbrunn, Enzersfeld im Weinviertel"
48.52428,16.35846,false,"Huttererstraße, Ernstbrunn, Ernstbrunn"
48.512064,16.382961,false,"""Südliches Ortsende"", Gebmanns, Ernstbrunn"
48.5101,16.31062,false,"""Beim Friedhof"", Maisbirbaum, Ernstbrunn"
48.51186,16.30292,false,"""Hintaus"", Maisbirbaum, Ernstbrunn"
48.50882,16.30363,false,"Kellergasse, Maisbirbaum, Ernstbrunn"
48.5326,16.30426,false,", Merkersdorf (Gemeinde Ernstbrunn), Ernstbrunn"
48.49548,16.36394,false,", Naglern, Ernstbrunn"
48.51158,16.33259,false,"""Bei der Kirche"", Simonsfeld, Ernstbrunn"
48.50576,16.33569,false,"""Hintaus"", Simonsfeld, Ernstbrunn"
48.45384,15.76372,false,"Weinbergstraße, Engabrunn, Grafenegg"
48.464511,15.766001,false,"Kellergasse, Engabrunn, Grafenegg"
48.450577,15.7472,false,"Kellergasse, Etsdorf am Kamp, Grafenegg"
48.45931,15.75413,false,"Raststatt, Etsdorf am Kamp, Grafenegg"
48.461,15.739,false,"Kellergasse Galgenberg, Walkersdorf am Kamp, Grafenegg"
48.71564,16.5762,false,"Dörfel/Stürzenbühel, Falkenstein, Falkenstein"
48.719961,16.589808,false,"Kellergasse ""Oagossen"", Falkenstein, Falkenstein"
48.723175,16.590352,false,"Neuer Weg, Falkenstein, Falkenstein"
48.7249,16.585818,false,"Schlossberg, Falkenstein, Falkenstein"
48.513201,16.156223,false,", Bergau, Göllersdorf"
48.490528,16.096503,false,"""Bei der Kirche"", Eitzersthal, Göllersdorf"
48.504294,16.089169,false,", Furth, Göllersdorf"
48.50097,16.101655,false,"""An der Eitzersthaler Straße"", Großstelzendorf, Göllersdorf"
48.508233,16.107302,false,"""Kellergasse"", Großstelzendorf, Göllersdorf"
48.489142,16.113393,false,"""Nördlich der Schießstattstraße an der S3"", Göllersdorf, Göllersdorf"
48.490271,16.11638,false,"Gerichtsberggasse/Schießstattgasse, Göllersdorf, Göllersdorf"
48.496132,16.112572,false,"Spitalgasse, Göllersdorf, Göllersdorf"
48.49238,16.11472,false,"Tullner Straße, Göllersdorf, Göllersdorf"
48.470762,16.09375,false,"""Hohlweg"", Oberparschenbrunn, Göllersdorf"
48.47513,16.09728,false,"""Kellergasse"", Oberparschenbrunn, Göllersdorf"
48.532872,16.163819,false,"""Bei der Kirche"", Porrau, Göllersdorf"
48.486477,16.138611,false,", Viendorf, Göllersdorf"
48.65271,16.4149,false,"""Friessritzer Straße"", Fallbach, Fallbach"
48.65579,16.41617,false,"""Kirchweg"", Fallbach, Fallbach"
48.65604,16.41565,false,"""Ungerndorfer Straße beim Gemeindeamt"", Fallbach, Fallbach"
48.65595,16.41026,false,"Gaubitscher Kellern, Fallbach, Fallbach"
48.63065,16.43044,false,"""Hintaus"", Friebritz, Fallbach"
48.63523,16.45678,false,"""Frättingsdorfer Straße"", Hagenberg, Fallbach"
48.63348,16.45611,false,"Kellerberg, Hagenberg, Fallbach"
48.66651,16.44026,false,"Schenkasberg, Hagendorf, Fallbach"
